TABLE_NAME,FIELD_NAME,RDBMS_DATA_TYPE,SAS_DATA_TYPE
DEMOGRAPHIC,PATID,RDBMS Text(x),SAS Char(x)
DEMOGRAPHIC,BIRTH_DATE,RDBMS Date,SAS Date (Numeric)
DEMOGRAPHIC,BIRTH_TIME,RDBMS Text(5),SAS Time (Numeric)
DEMOGRAPHIC,SEX,RDBMS Text(2),SAS Char(2)
DEMOGRAPHIC,SEXUAL_ORIENTATION,RDBMS Text(2),SAS Char(2)
DEMOGRAPHIC,GENDER_IDENTITY,RDBMS Text(2),SAS Char(2)
DEMOGRAPHIC,HISPANIC,RDBMS Text(2),SAS Char(2)
DEMOGRAPHIC,RACE,RDBMS Text(2),SAS Char(2)
DEMOGRAPHIC,RACE_ETH_MISSING,RDBMS Text(2),SAS Char(2)
DEMOGRAPHIC,RACE_ETH_AI_AN,RDBMS Text(1),SAS Char(1)
DEMOGRAPHIC,RACE_ETH_ASIAN,RDBMS Text(1),SAS Char(1)
DEMOGRAPHIC,RACE_ETH_BLACK,RDBMS Text(1),SAS Char(1)
DEMOGRAPHIC,RACE_ETH_HISPANIC,RDBMS Text(1),SAS Char(1)
DEMOGRAPHIC,RACE_ETH_ME_NA,RDBMS Text(1),SAS Char(1)
DEMOGRAPHIC,RACE_ETH_NH_PI,RDBMS Text(1),SAS Char(1)
DEMOGRAPHIC,RACE_ETH_WHITE,RDBMS Text(1),SAS Char(1)
DEMOGRAPHIC,BIOBANK_FLAG,RDBMS Text(1),SAS Char(1)
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,RDBMS Text(3),SAS Char(3)
DEMOGRAPHIC,RAW_SEX,RDBMS Text(x),SAS Char(x)
DEMOGRAPHIC,RAW_SEXUAL_ORIENTATION,RDBMS Text(x),SAS Char(x)
DEMOGRAPHIC,RAW_GENDER_IDENTITY,RDBMS Text(x),SAS Char(x)
DEMOGRAPHIC,RAW_HISPANIC,RDBMS Text(x),SAS Char(x)
DEMOGRAPHIC,RAW_RACE,RDBMS Text(x),SAS Char(x)
DEMOGRAPHIC,RAW_PAT_PREF_LANGUAGE_SPOKEN,RDBMS Text(x),SAS Char(x)
ENCOUNTER,ENCOUNTERID,RDBMS Text(x),SAS Char(x)
ENCOUNTER,PATID,RDBMS Text(x),SAS Char(x)
ENCOUNTER,ADMIT_DATE,RDBMS Date,SAS Date (Numeric)
ENCOUNTER,ADMIT_TIME,RDBMS Text(5),SAS Time (Numeric)
ENCOUNTER,DISCHARGE_DATE,RDBMS Date,SAS Date (Numeric)
ENCOUNTER,DISCHARGE_TIME,RDBMS Text(5),SAS Time (Numeric)
ENCOUNTER,PROVIDERID,RDBMS Text(x),SAS Char(x)
ENCOUNTER,FACILITY_LOCATION,RDBMS Text(5),SAS Char(5)
ENCOUNTER,ENC_TYPE,RDBMS Text(2),SAS Char(2)
ENCOUNTER,FACILITYID,RDBMS Text(x),SAS Char(x)
ENCOUNTER,DISCHARGE_DISPOSITION,RDBMS Text(2),SAS Char(2)
ENCOUNTER,DISCHARGE_STATUS,RDBMS Text(2),SAS Char(2)
ENCOUNTER,DRG,RDBMS Text(3),SAS Char(3)
ENCOUNTER,DRG_TYPE,RDBMS Text(2),SAS Char(2)
ENCOUNTER,ADMITTING_SOURCE,RDBMS Text(2),SAS Char(2)
ENCOUNTER,PAYER_TYPE_PRIMARY,RDBMS Text(5) ,SAS Char(5)
ENCOUNTER,PAYER_TYPE_SECONDARY,RDBMS Text(5),SAS Char(5)
ENCOUNTER,FACILITY_TYPE,RDBMS Text(x),SAS Char(x)
ENCOUNTER,RAW_SITEID,RDBMS Text(x),SAS Char(x)
ENCOUNTER,RAW_ENC_TYPE,RDBMS Text(x),SAS Char(x)
ENCOUNTER,RAW_DISCHARGE_DISPOSITION,RDBMS Text(x),SAS Char(x)
ENCOUNTER,RAW_DISCHARGE_STATUS,RDBMS Text(x),SAS Char(x)
ENCOUNTER,RAW_DRG_TYPE,RDBMS Text(x),SAS Char(x)
ENCOUNTER,RAW_ADMITTING_SOURCE,RDBMS Text(x),SAS Char(x)
ENCOUNTER,RAW_FACILITY_TYPE,RDBMS Text(x),SAS Char(x)
ENCOUNTER,RAW_PAYER_TYPE_PRIMARY,RDBMS Text(x),SAS Char(x)
ENCOUNTER,RAW_PAYER_NAME_PRIMARY,RDBMS Text(x),SAS Char(x)
ENCOUNTER,RAW_PAYER_ID_PRIMARY,RDBMS Text(x),SAS Char(x)
ENCOUNTER,RAW_PAYER_TYPE_SECONDARY,RDBMS Text(x),SAS Char(x)
ENCOUNTER,RAW_PAYER_NAME_SECONDARY,RDBMS Text(x),SAS Char(x)
ENCOUNTER,RAW_PAYER_ID_SECONDARY,RDBMS Text(x),SAS Char(x)
ENROLLMENT,PATID,RDBMS Text(x),SAS Char(x)
ENROLLMENT,ENR_START_DATE,RDBMS Date,SAS Date (Numeric)
ENROLLMENT,ENR_END_DATE,RDBMS Date,SAS Date (Numeric)
ENROLLMENT,CHART,RDBMS Text(1),SAS Char(1)
ENROLLMENT,ENR_BASIS,RDBMS Text(1),SAS Char(1)
DIAGNOSIS,DIAGNOSISID,RDBMS Text(x),SAS Char(x)
DIAGNOSIS,PATID,RDBMS Text(x),SAS Char(x)
DIAGNOSIS,ENCOUNTERID,RDBMS Text(x),SAS Char(x)
DIAGNOSIS,ENC_TYPE,RDBMS Text(2),SAS Char(2)
DIAGNOSIS,ADMIT_DATE,RDBMS Date,SAS Date (Numeric)
DIAGNOSIS,PROVIDERID,RDBMS Text(x),SAS Char(x)
DIAGNOSIS,DX,RDBMS Text(18),SAS Char(18)
DIAGNOSIS,DX_TYPE,RDBMS Text(2),SAS Char(2)
DIAGNOSIS,DX_DATE,RDBMS Date,SAS Date (Numeric)
DIAGNOSIS,DX_SOURCE,RDBMS Text(2),SAS Char(2)
DIAGNOSIS,DX_ORIGIN,RDBMS Text(2),SAS Char(2)
DIAGNOSIS,PDX,RDBMS Text(2),SAS Char(2)
DIAGNOSIS,DX_POA,RDBMS Text(2),SAS Char(2)
DIAGNOSIS,RAW_DX,RDBMS Text(x),SAS Char(x)
